Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARM,Armenia,3109,Entrepreneurial Intention,% of 18-64 population,,,,,,,,,,,,,,,,,,,32.2
ARM,Armenia,3111,Entrepreneurship as Desirable Career Choice,% of 18-64 population,,,,,,,,,,,,,,,,,,,87.24
ARM,Armenia,3112,High Status Successful Entrepreneurship,% of 18-64 population,,,,,,,,,,,,,,,,,,,73.41
ARM,Armenia,3116,Total early-stage Entrepreneurial Activity (TEA),% of 18-64 population,,,,,,,,,,,,,,,,,,,20.97
ARM,Armenia,3117,Established Business Ownership Rate,% of 18-64 population,,,,,,,,,,,,,,,,,,,7.84
AUS,Australia,3106,Perceived Capabilities,% of 18-64 population,59.66,50.71,58.92,55.86,57.44,50.64,,,,53.16,47.42,,,46.8,48.21,52.34,49.3,,56.04
AUS,Australia,3107,Perceived Opportunities,% of 18-64 population,31.27,34.17,51.7,51.24,50.24,54.79,,,,45.69,47.83,,,45.72,48.87,49.28,51.39,,45.74
AUS,Australia,3108,Fear of Failure Rate,% of 18-64 population,38.18,32.3,36.41,34.05,30.34,33.66,,,,35.85,43.22,,,39.21,41.67,42.87,41.37,,47.37
AUS,Australia,3109,Entrepreneurial Intention,% of 18-64 population,,7.85,11.83,15.52,12,10.59,,,,8.73,12.26,,,10.02,14.39,12.34,13.19,,13.02
AUS,Australia,3110,Know Startup Entrepreneur Rate,% of 18-64 population,48.87,34.78,44.77,41.66,41.8,40.67,,,,30.33,29.15,,,27.69,33.79,,,,
AUS,Australia,3111,Entrepreneurship as Desirable Career Choice,% of 18-64 population,,,54.19,56.58,54.56,57.18,,,,57,53.96,,,53.35,56.38,54.2,53.87,,56.39
AUS,Australia,3112,High Status Successful Entrepreneurship,% of 18-64 population,,,64.51,69.71,71.88,72.34,,,,68.41,67.73,,,67.09,70.05,71.5,68.91,,74
AUS,Australia,3113,Media Attention for Entrepreneurship,% of 18-64 population,,,68.18,59.84,55.95,64.36,,,,70.48,69.51,,,72.56,72.32,,,,
AUS,Australia,3114,Nascent Entrepreneurship Rate,% of 18-64 population,14.47,3.74,6.6,8.03,5.97,7.25,,,,3.94,6.03,,,7.65,7.34,,,,
AUS,Australia,3115,New Business Ownership Rate,% of 18-64 population,24.49,5.22,5.36,5.8,4.71,5.72,,,,3.96,4.69,,,5.69,5.75,,,,
AUS,Australia,3116,Total early-stage Entrepreneurial Activity (TEA),% of 18-64 population,14.68,8.66,11.62,13.38,10.47,11.89,,,,7.8,10.5,,,13.14,12.79,14.56,12.21,,10.52
AUS,Australia,3117,Established Business Ownership Rate,% of 18-64 population,27.96,7.71,9.06,9.64,10.35,9.12,,,,8.47,9.06,,,9.8,8.72,11.3,9.01,,6.53
AUS,Australia,3118,Necessity-Driven Entrepreneurial Activity: Relative Prevalence,% of those involved in TEA,0.01,17.37,12.97,18.5,13.16,10.74,,,,18.54,15.04,,,17.6,12.73,,,,
AUS,Australia,3119,Improvement-Driven Opportunity Entrepreneurial Activity: Relative Prevalence,% of those involved in TEA,,,,,63,62.26,,,,58.74,73.1,,,63.78,66.01,,,,
AUS,Australia,3120,Total early-stage Entrepreneurial Activity for Male Working Age Population,% of male 18-64 population ,19.57,11.68,13.64,15.7,13.72,14.02,,,,7.83,12.59,,,15.97,15.48,,,,
AUS,Australia,3121,Total early-stage Entrepreneurial Activity for Female Working Age Population,% of female 18-64 population,9.35,5.58,9.57,11.03,7.39,9.72,,,,7.77,8.38,,,10.32,10.1,,,,
AUS,Australia,3122,Informal Investors Rate,% of 18-64 population,4.09,1.81,3.19,2.73,2.99,2.95,,,,3.37,3.81,,,5.1,4.12,,,,
AUS,Australia,3123,Growth Expectation early-stage Entrepreneurial Activity: Relative Prevalence,% of TEA,39.52,17.49,21.27,22.49,19.44,25.05,,,,28.71,39.73,,,29,34.66,,,,
AUS,Australia,3124,New Product early-stage Entrepreneurial Activity,% of TEA,,36.83,39.12,39.35,32.11,35.8,,,,35.63,40.71,,,44.47,44.76,35.9,28.51,,
AUS,Australia,3125,International Orientation early-stage Entrepreneurial Activity,% of TEA,,,11.88,14.3,9.27,13.09,,,,9.96,15.03,,,12.1,15.95,,,,
AUT,Austria,3106,Perceived Capabilities,% of 18-64 population,,,,,45.98,,52.61,,,,,49.61,,48.67,,49.6,,48.33,
AUT,Austria,3107,Perceived Opportunities,% of 18-64 population,,,,,29.13,,50.68,,,,,49.21,,44.4,,42.24,,46.78,
AUT,Austria,3108,Fear of Failure Rate,% of 18-64 population,,,,,30.26,,34.28,,,,,35.96,,34.92,,37.05,,36.73,
AUT,Austria,3109,Entrepreneurial Intention,% of 18-64 population,,,,,4.86,,5.26,,,,,8.57,,8.15,,10.39,,11.76,
AUT,Austria,3110,Know Startup Entrepreneur Rate,% of 18-64 population,,,,,40.53,,41.97,,,,,38.62,,35.31,,,,,
AUT,Austria,3111,Entrepreneurship as Desirable Career Choice,% of 18-64 population,,,,,40.47,,34.81,,,,,46.42,,,,,,50.15,
AUT,Austria,3112,High Status Successful Entrepreneurship,% of 18-64 population,,,,,69.58,,71.41,,,,,75.82,,,,,,75.3,
AUT,Austria,3113,Media Attention for Entrepreneurship,% of 18-64 population,,,,,58.67,,57.12,,,,,,,,,,,,
AUT,Austria,3114,Nascent Entrepreneurship Rate,% of 18-64 population,,,,,3.02,,1.49,,,,,6.58,,5.8,,,,,
AUT,Austria,3115,New Business Ownership Rate,% of 18-64 population,,,,,2.37,,0.96,,,,,3.42,,3.06,,,,,
AUT,Austria,3116,Total early-stage Entrepreneurial Activity (TEA),% of 18-64 population,,,,,5.28,,2.44,,,,,9.58,,8.71,,9.63,,10.9,
AUT,Austria,3117,Established Business Ownership Rate,% of 18-64 population,,,,,3.84,,6,,,,,7.61,,9.86,,8.8,,6.46,
AUT,Austria,3118,Necessity-Driven Entrepreneurial Activity: Relative Prevalence,% of those involved in TEA,,,,,14.3,,6.43,,,,,10.81,,10.95,,,,,
AUT,Austria,3119,Improvement-Driven Opportunity Entrepreneurial Activity: Relative Prevalence,% of those involved in TEA,,,,,58.44,,55.96,,,,,38.2,,37.37,,,,,
AUT,Austria,3120,Total early-stage Entrepreneurial Activity for Male Working Age Population,% of male 18-64 population ,,,,,6.9,,3.06,,,,,11.04,,10.38,,,,,
AUT,Austria,3121,Total early-stage Entrepreneurial Activity for Female Working Age Population,% of female 18-64 population,,,,,3.66,,1.84,,,,,8.12,,7.06,,,,,
AUT,Austria,3122,Informal Investors Rate,% of 18-64 population,,,,,1.79,,2.03,,,,,6.27,,5.77,,,,,
AUT,Austria,3123,Growth Expectation early-stage Entrepreneurial Activity: Relative Prevalence,% of TEA,,,,,28.29,,21.02,,,,,12.95,,14.84,,,,,
AUT,Austria,3124,New Product early-stage Entrepreneurial Activity,% of TEA,,,,,43.73,,44.25,,,,,48.23,,47.14,,35,,37.02,
AUT,Austria,3125,International Orientation early-stage Entrepreneurial Activity,% of TEA,,,,,23.95,,19.39,,,,,26.48,,24.74,,,,,
BEL,Belgium,3106,Perceived Capabilities,% of 18-64 population,30.32,35.17,35.3,38.75,44.49,34.59,37.37,36.26,36.65,44.86,43.99,37.11,33.85,30.4,31.89,,,,
BEL,Belgium,3107,Perceived Opportunities,% of 18-64 population,19.96,15.84,17.6,37.52,42.51,15.37,16.31,14.1,14.54,39.58,42.97,33.29,31.5,35.93,40.26,,,,
BEL,Belgium,3108,Fear of Failure Rate,% of 18-64 population,37.87,30.99,26.14,31.53,29,36.18,27.63,33.36,27.66,35.06,40.73,40.83,46.55,49.35,48.48,,,,
BEL,Belgium,3109,Entrepreneurial Intention,% of 18-64 population,,4.69,4.73,5.69,6.12,5.76,5.63,6.39,5.23,8.22,10.89,9.06,7.85,10.55,10.85,,,,
BEL,Belgium,3110,Know Startup Entrepreneur Rate,% of 18-64 population,30.31,27.88,31.17,29.85,36.63,27.74,31.1,29.48,29.08,24.01,25.52,22.13,18.56,19.48,17.18,,,,
BEL,Belgium,3111,Entrepreneurship as Desirable Career Choice,% of 18-64 population,,,55.98,70.57,67,46.99,44.52,46.66,45.63,60.02,63.61,62.27,54.8,52.41,54.18,,,,
BEL,Belgium,3112,High Status Successful Entrepreneurship,% of 18-64 population,,,53.7,68.53,72.1,53.39,51.33,46.26,49.37,51.22,54.76,57.38,52.2,51.73,54.51,,,,
BEL,Belgium,3113,Media Attention for Entrepreneurship,% of 18-64 population,,,40.06,40.12,48.47,37.07,37.25,38.07,32.94,45.67,47.17,53.82,43.86,50.82,54.66,,,,
BEL,Belgium,3114,Nascent Entrepreneurship Rate,% of 18-64 population,2.04,2.13,2.83,2.17,2.89,1.82,2.71,2.02,1.96,2.55,2.67,3.32,3.06,2.93,4.53,,,,
BEL,Belgium,3115,New Business Ownership Rate,% of 18-64 population,1.19,1.08,1.21,1.36,1.17,1.11,0.44,0.88,1.57,1.25,3.01,1.95,1.93,2.55,1.96,,,,
BEL,Belgium,3116,Total early-stage Entrepreneurial Activity (TEA),% of 18-64 population,4.19,2.99,3.88,3.42,3.93,2.73,3.15,2.85,3.51,3.67,5.69,5.2,4.92,5.4,6.24,,,,
BEL,Belgium,3117,Established Business Ownership Rate,% of 18-64 population,3.02,2.24,2.21,4.03,5.63,2.12,1.4,2.63,2.51,2.69,6.79,5.12,5.94,3.54,3.75,,,,
BEL,Belgium,3118,Necessity-Driven Entrepreneurial Activity: Relative Prevalence,% of those involved in TEA,10.69,10.34,8.26,4.98,9.91,6.81,5.51,8.98,9.08,9.9,10.44,17.91,28.98,30.67,27.46,,,,
BEL,Belgium,3119,Improvement-Driven Opportunity Entrepreneurial Activity: Relative Prevalence,% of those involved in TEA,,,,,44.77,51.9,50.2,46.37,54.76,51.81,72.38,61.56,43.89,43.12,44.3,,,,
BEL,Belgium,3120,Total early-stage Entrepreneurial Activity for Male Working Age Population,% of male 18-64 population ,5.53,4.44,5.75,4.82,5.43,4.39,4.3,4.02,4.48,4.02,6.85,7.73,6.39,7.65,7.5,,,,
BEL,Belgium,3121,Total early-stage Entrepreneurial Activity for Female Working Age Population,% of female 18-64 population,2.84,1.52,1.98,2,2.42,1.04,1.98,1.66,2.53,3.32,4.51,2.64,3.44,3.14,4.98,,,,
BEL,Belgium,3122,Informal Investors Rate,% of 18-64 population,2.34,1.73,1.64,1.64,3.11,2.52,2.7,2.51,2.34,3.6,3.82,3.13,2.83,3.18,2.75,,,,
BEL,Belgium,3123,Growth Expectation early-stage Entrepreneurial Activity: Relative Prevalence,% of TEA,13.54,18.68,27.2,27.23,19.91,22.92,20.39,35.03,24.54,11.86,16.26,24.46,21.23,16.88,23.05,,,,
BEL,Belgium,3124,New Product early-stage Entrepreneurial Activity,% of TEA,,50.33,51.55,39.06,34.5,37.83,48.92,42.51,41.61,40.75,33.56,53.34,38.34,47.63,56.04,,,,
BEL,Belgium,3125,International Orientation early-stage Entrepreneurial Activity,% of TEA,,,35.18,33.91,23.87,38.31,29.79,45.55,43.32,25.22,36.73,8.17,28.42,32.72,22.88,,,,
BFA,Burkina Faso,3106,Perceived Capabilities,% of 18-64 population,,,,,,,,,,,,,,65.89,78.05,76.72,,,
BFA,Burkina Faso,3107,Perceived Opportunities,% of 18-64 population,,,,,,,,,,,,,,63.61,58.1,61.88,,,
BFA,Burkina Faso,3108,Fear of Failure Rate,% of 18-64 population,,,,,,,,,,,,,,23.75,17.89,17.88,,,
BFA,Burkina Faso,3109,Entrepreneurial Intention,% of 18-64 population,,,,,,,,,,,,,,42.34,45.87,63.67,,,
BFA,Burkina Faso,3110,Know Startup Entrepreneur Rate,% of 18-64 population,,,,,,,,,,,,,,63.28,68.98,,,,
BFA,Burkina Faso,3111,Entrepreneurship as Desirable Career Choice,% of 18-64 population,,,,,,,,,,,,,,,73.79,80.6,,,
BFA,Burkina Faso,3112,High Status Successful Entrepreneurship,% of 18-64 population,,,,,,,,,,,,,,,83.38,90.6,,,
BFA,Burkina Faso,3113,Media Attention for Entrepreneurship,% of 18-64 population,,,,,,,,,,,,,,,67.3,,,,
BFA,Burkina Faso,3114,Nascent Entrepreneurship Rate,% of 18-64 population,,,,,,,,,,,,,,12.72,19.74,,,,
BFA,Burkina Faso,3115,New Business Ownership Rate,% of 18-64 population,,,,,,,,,,,,,,9.75,11.23,,,,
BFA,Burkina Faso,3116,Total early-stage Entrepreneurial Activity (TEA),% of 18-64 population,,,,,,,,,,,,,,21.71,29.75,33.53,,,
BFA,Burkina Faso,3117,Established Business Ownership Rate,% of 18-64 population,,,,,,,,,,,,,,17.68,27.78,28,,,
BFA,Burkina Faso,3118,Necessity-Driven Entrepreneurial Activity: Relative Prevalence,% of those involved in TEA,,,,,,,,,,,,,,22.27,27.5,,,,
BFA,Burkina Faso,3119,Improvement-Driven Opportunity Entrepreneurial Activity: Relative Prevalence,% of those involved in TEA,,,,,,,,,,,,,,52.84,37.26,,,,
BFA,Burkina Faso,3120,Total early-stage Entrepreneurial Activity for Male Working Age Population,% of male 18-64 population ,,,,,,,,,,,,,,25.39,33.59,,,,
BFA,Burkina Faso,3121,Total early-stage Entrepreneurial Activity for Female Working Age Population,% of female 18-64 population,,,,,,,,,,,,,,18.71,26.65,,,,
BFA,Burkina Faso,3122,Informal Investors Rate,% of 18-64 population,,,,,,,,,,,,,,8.78,8.06,,,,
BFA,Burkina Faso,3123,Growth Expectation early-stage Entrepreneurial Activity: Relative Prevalence,% of TEA,,,,,,,,,,,,,,19.7,14.47,,,,
BFA,Burkina Faso,3124,New Product early-stage Entrepreneurial Activity,% of TEA,,,,,,,,,,,,,,22.85,26.03,22.5,,,
BFA,Burkina Faso,3125,International Orientation early-stage Entrepreneurial Activity,% of TEA,,,,,,,,,,,,,,0.98,5.43,,,,
BGD,Bangladesh,3106,Perceived Capabilities,% of 18-64 population,,,,,,,,,,,23.63,,,,,,,,
BGD,Bangladesh,3107,Perceived Opportunities,% of 18-64 population,,,,,,,,,,,64.43,,,,,,,,
BGD,Bangladesh,3108,Fear of Failure Rate,% of 18-64 population,,,,,,,,,,,72.01,,,,,,,,
BGD,Bangladesh,3109,Entrepreneurial Intention,% of 18-64 population,,,,,,,,,,,24.57,,,,,,,,
BGD,Bangladesh,3110,Know Startup Entrepreneur Rate,% of 18-64 population,,,,,,,,,,,37.6,,,,,,,,
BGD,Bangladesh,3111,Entrepreneurship as Desirable Career Choice,% of 18-64 population,,,,,,,,,,,73.02,,,,,,,,
BGD,Bangladesh,3112,High Status Successful Entrepreneurship,% of 18-64 population,,,,,,,,,,,100,,,,,,,,
BGD,Bangladesh,3113,Media Attention for Entrepreneurship,% of 18-64 population,,,,,,,,,,,49.33,,,,,,,,
BGD,Bangladesh,3114,Nascent Entrepreneurship Rate,% of 18-64 population,,,,,,,,,,,7.08,,,,,,,,
BGD,Bangladesh,3115,New Business Ownership Rate,% of 18-64 population,,,,,,,,,,,7.07,,,,,,,,
BGD,Bangladesh,3116,Total early-stage Entrepreneurial Activity (TEA),% of 18-64 population,,,,,,,,,,,12.77,,,,,,,,
BGD,Bangladesh,3117,Established Business Ownership Rate,% of 18-64 population,,,,,,,,,,,11.6,,,,,,,,
BGD,Bangladesh,3118,Necessity-Driven Entrepreneurial Activity: Relative Prevalence,% of those involved in TEA,,,,,,,,,,,27.33,,,,,,,,
BGD,Bangladesh,3119,Improvement-Driven Opportunity Entrepreneurial Activity: Relative Prevalence,% of those involved in TEA,,,,,,,,,,,50.05,,,,,,,,
BGD,Bangladesh,3120,Total early-stage Entrepreneurial Activity for Male Working Age Population,% of male 18-64 population ,,,,,,,,,,,20.96,,,,,,,,
BGD,Bangladesh,3121,Total early-stage Entrepreneurial Activity for Female Working Age Population,% of female 18-64 population,,,,,,,,,,,4.31,,,,,,,,
BGD,Bangladesh,3122,Informal Investors Rate,% of 18-64 population,,,,,,,,,,,5.65,,,,,,,,
BGD,Bangladesh,3123,Growth Expectation early-stage Entrepreneurial Activity: Relative Prevalence,% of TEA,,,,,,,,,,,14.32,,,,,,,,
BGD,Bangladesh,3124,New Product early-stage Entrepreneurial Activity,% of TEA,,,,,,,,,,,10.54,,,,,,,,
BGD,Bangladesh,3125,International Orientation early-stage Entrepreneurial Activity,% of TEA,,,,,,,,,,,0.45,,,,,,,,
BGR,Bulgaria,3106,Perceived Capabilities,% of 18-64 population,,,,,,,,,,,,,,,35.17,39.67,38.36,36.88,
BGR,Bulgaria,3107,Perceived Opportunities,% of 18-64 population,,,,,,,,,,,,,,,15.84,21.04,19.46,19.25,
BGR,Bulgaria,3108,Fear of Failure Rate,% of 18-64 population,,,,,,,,,,,,,,,33.28,25.06,20.89,30.98,
BGR,Bulgaria,3109,Entrepreneurial Intention,% of 18-64 population,,,,,,,,,,,,,,,5.34,7.09,5.01,3.91,
BGR,Bulgaria,3110,Know Startup Entrepreneur Rate,% of 18-64 population,,,,,,,,,,,,,,,39.79,,,,
BGR,Bulgaria,3111,Entrepreneurship as Desirable Career Choice,% of 18-64 population,,,,,,,,,,,,,,,57.53,52.9,54.29,62.57,
